TGen_Subject_Name	Sample_ID	Sex	Group	RIN	Mouse ID
CB_F2_MTX_1WKPI	F2_MTX	F	MTX	8.7	CB_1WK_NEW_55
CB_M2_MTXL_1WKPI	M2_MTXL	M	MTXL	8.9	CB_1WK_NEW_52
CB_M2_SALINE_1WKPI	M2_SALINE	M	SALINE	9.1	CB_1WK_NEW_4
CB_F7_SALINE_1WKPI	F7_SALINE	F	SALINE	8.9	CB_1WK_NEW_37
CB_F2_SALINE_1WKPI	F2_SALINE	F	SALINE	9.1	CB_1WK_NEW_25
CB_M6_MTXL_1WKPI	M6_MTXL	M	MTXL	9.1	CB_1WK_NEW_2
CB_F2_MTXL_1WKPI	F2_MTXL	F	MTXL	9	CB_1WK_NEW_32
CB_F7_MTX_1WKPI	F7_MTX	F	MTX	8.8	CB_1WK_NEW_65
CB_F5_LEUC_1WKPI	F5_LEUC	F	LEUC	8.8	CB_1WK_NEW_53
CB_F3_MTX_1WKPI	F3_MTX	F	MTX	8.9	CB_1WK_NEW_57
CB_M12_SALINE_1WKPI	M12_SALINE	M	SALINE	8.9	CB_1WK_NEW_20
CB_M3_MTX_1WKPI	M3_MTX	M	MTX	9	CB_1WK_NEW_14
CB_F3_SALINE_1WKPI	F3_SALINE	F	SALINE	8.8	CB_1WK_NEW_26
CB_M10_MTXL_1WKPI	M10_MTXL	M	MTXL	9	CB_1WK_NEW_70
CB_F9_MTXL_1WKPI	F9_MTXL	F	MTXL	8.7	CB_1WK_NEW_61
CB_F10_SALINE_1WKPI	F10_SALINE	F	SALINE	9	CB_1WK_NEW_41
CB_F5_MTXL_1WKPI	F5_MTXL	F	MTXL	8.9	CB_1WK_NEW_43
CB_F1_MTXL_1WKPI	F1_MTXL	F	MTXL	8.8	CB_1WK_NEW_31
CB_F4_MTX_1WKPI	F4_MTX	F	MTX	8.7	CB_1WK_NEW_58
CB_F6_MTXL_1WKPI	F6_MTXL	F	MTXL	8.7	CB_1WK_NEW_44
CB_M1_MTX_1WKPI	M1_MTX	M	MTX	8.7	CB_1WK_NEW_11
CB_F1_SALINE_1WKPI	F1_SALINE	F	SALINE	9.1	CB_1WK_NEW_24
CB_M4_LEUC_1WKPI	M4_LEUC	M	LEUC	9	CB_1WK_NEW_9
CB_F9_SALINE_1WKPI	F9_SALINE	F	SALINE	8.8	CB_1WK_NEW_39
CB_M5_SALINE_1WKPI	M5_SALINE	M	SALINE	8.8	CB_1WK_NEW_40
CB_M4_MTXL_1WKPI	M4_MTXL	M	MTXL	8.9	CB_1WK_NEW_66
CB_F6_LEUC_1WKPI	F6_LEUC	F	LEUC	9.1	CB_1WK_NEW_62
CB_M2_LEUC_1WKPI	M2_LEUC	M	LEUC	8.6	CB_1WK_NEW_7
CB_M3_MTXL_1WKPI	M3_MTXL	M	MTXL	8.8	CB_1WK_NEW_64
CB_M5_LEUC_1WKPI	M5_LEUC	M	LEUC	9.2	CB_1WK_NEW_10
CB_F5_MTX_1WKPI	F5_MTX	F	MTX	8.6	CB_1WK_NEW_59
CB_F11_SALINE_1WKPI	F11_SALINE	F	SALINE	8.8	CB_1WK_NEW_60
CB_F3_LEUC_1WKPI	F3_LEUC	F	LEUC	8.8	CB_1WK_NEW_50
CB_F4_MTXL_1WKPI	F4_MTXL	F	MTXL	9	CB_1WK_NEW_42
CB_M9_SALINE_1WKPI	M9_SALINE	M	SALINE	9	CB_1WK_NEW_56
CB_M5_MTX_1WKPI	M5_MTX	M	MTX	9.1	CB_1WK_NEW_17
CB_M3_SALINE_1WKPI	M3_SALINE	M	SALINE	8.9	CB_1WK_NEW_16
CB_M4_MTX_1WKPI	M4_MTX	M	MTX	8.7	CB_1WK_NEW_15
CB_M3_LEUC_1WKPI	M3_LEUC	M	LEUC	8.8	CB_1WK_NEW_8
CB_M6_SALINE_1WKPI	M6_SALINE	M	SALINE	9	CB_1WK_NEW_23
CB_F4_LEUC_1WKPI	F4_LEUC	F	LEUC	9	CB_1WK_NEW_51
CB_M11_SALINE_1WKPI	M11_SALINE	M	SALINE	8.6	CB_1WK_NEW_19
CB_M12_MTXL_1WKPI	M12_MTXL	M	MTXL	8.7	CB_1WK_NEW_22
CB_F6_MTX_1WKPI	F6_MTX	F	MTX	8.7	CB_1WK_NEW_63
CB_M1_LEUC_1WKPI	M1_LEUC	M	LEUC	8.7	CB_1WK_NEW_6
CB_M11_MTXL_1WKPI	M11_MTXL	M	MTXL	8.7	CB_1WK_NEW_21
CB_F4_SALINE_1WKPI	F4_SALINE	F	SALINE	8.8	CB_1WK_NEW_27
CB_F5_SALINE_1WKPI	F5_SALINE	F	SALINE	8.8	CB_1WK_NEW_29
CB_F3_MTXL_1WKPI	F3_MTXL	F	MTXL	8.9	CB_1WK_NEW_33
CB_F2_LEUC_1WKPI	F2_LEUC	F	LEUC	8.9	CB_1WK_NEW_49
CB_F8_MTXL_1WKPI	F8_MTXL	F	MTXL	8.8	CB_1WK_NEW_47
CB_F1_MTX_1WKPI	F1_MTX	F	MTX	9	CB_1WK_NEW_54
CB_F7_MTXL_1WKPI	F7_MTXL	F	MTXL	9.1	CB_1WK_NEW_46
CB_M7_MTXL_1WKPI	M7_MTXL	M	MTXL	8.4	CB_1WK_NEW_3
CB_M5_MTXL_1WKPI	M5_MTXL	M	MTXL	9	CB_1WK_NEW_68
CB_F1_LEUC_1WKPI	F1_LEUC	F	LEUC	8.7	CB_1WK_NEW_48
CB_M1_SALINE_1WKPI	M1_SALINE	M	SALINE	9	CB_1WK_NEW_1
CB_M1_MTXL_1WKPI	M1_MTXL	M	MTXL	8.7	CB_1WK_NEW_12
CB_M2_MTX_1WKPI	M2_MTX	M	MTX	9	CB_1WK_NEW_13
CB_F6_SALINE_1WKPI	F6_SALINE	F	SALINE	8.7	CB_1WK_NEW_36
CB_M9_MTXL_1WKPI	M9_MTXL	M	MTXL	8.9	CB_1WK_NEW_69
CB_M7_SALINE_1WKPI	M7_SALINE	M	SALINE	8.7	CB_1WK_NEW_34
CB_M10_SALINE_1WKPI	M10_SALINE	M	SALINE	9	CB_1WK_NEW_67
CB_F8_SALINE_1WKPI	F8_SALINE	F	SALINE	8.9	CB_1WK_NEW_38
CB_M8_SALINE_1WKPI	M8_SALINE	M	SALINE	9.1	CB_1WK_NEW_45
CB_M8_MTXL_1WKPI	M8_MTXL	M	MTXL	9	CB_1WK_NEW_5
CB_M4_SALINE_1WKPI	M4_SALINE	M	SALINE	9.1	CB_1WK_NEW_28
